"geometry","visit","projection","feature","coefficient"
"curved",0,"U","B1",0.0521697577531578
"curved",0,"U","B2",0.625885448630095
"curved",0,"U","B3",-0.203234219627118
"curved",0,"U","L0",0.0842238514793039
"curved",0,"U","M0",-0.74642341628839
"curved",0,"V","B1",0.400180243631179
"curved",0,"V","B2",-0.485194601507866
"curved",0,"V","B3",-0.602807335172958
"curved",0,"V","L0",0.306878585381339
"curved",0,"V","M0",0.383263384333723
"curved",1,"U","B1",0.166863136970242
"curved",1,"U","B2",-0.3028027250873
"curved",1,"U","B3",0.164075649913379
"curved",1,"U","L0",-0.207622210247492
"curved",1,"U","L1",-0.541341252043992
"curved",1,"U","M0",0.260298605865417
"curved",1,"U","M1",-0.566252191810951
"curved",1,"U","A0",-0.359154760523735
"curved",1,"V","B1",-0.814278174590969
"curved",1,"V","B2",-0.195073908115397
"curved",1,"V","B3",0.456417617049807
"curved",1,"V","L0",-0.21471716675621
"curved",1,"V","L1",0.00178179532961084
"curved",1,"V","M0",0.030802473737447
"curved",1,"V","M1",0.161865812974896
"curved",1,"V","A0",-0.131621477393245
"curved",2,"U","B1",-0.238582305246026
"curved",2,"U","B2",-0.57661923850117
"curved",2,"U","B3",0.0365275914240509
"curved",2,"U","L0",0.161841334671805
"curved",2,"U","L1",0.209023163416592
"curved",2,"U","L2",-0.319680857481323
"curved",2,"U","M0",-0.359960483515079
"curved",2,"U","M1",0.0581707031906381
"curved",2,"U","M2",-0.359213888682767
"curved",2,"U","A0",0.132502547451647
"curved",2,"U","A1",0.39702443007916
"curved",2,"V","B1",-0.108545083557898
"curved",2,"V","B2",0.143522821170841
"curved",2,"V","B3",0.0712399587256214
"curved",2,"V","L0",0.646757598906147
"curved",2,"V","L1",-0.369484694325052
"curved",2,"V","L2",0.234871933576849
"curved",2,"V","M0",0.13991563757835
"curved",2,"V","M1",-0.529582183446044
"curved",2,"V","M2",0.0268712170910967
"curved",2,"V","A0",-0.185340323132051
"curved",2,"V","A1",-0.132129119821512
"curved",3,"U","B1",-0.344715705629051
"curved",3,"U","B2",0.457310906996052
"curved",3,"U","B3",-0.027220446918904
"curved",3,"U","L0",-0.137257850626403
"curved",3,"U","L1",-0.33188255826764
"curved",3,"U","L2",0.158395037328103
"curved",3,"U","L3",-0.0571445072255327
"curved",3,"U","M0",0.0286011216582422
"curved",3,"U","M1",0.120739272151632
"curved",3,"U","M2",0.0464265001677557
"curved",3,"U","M3",0.364769474198412
"curved",3,"U","A0",-0.122662388900491
"curved",3,"U","A1",-0.274520000840651
"curved",3,"U","A2",0.522437703052355
"curved",3,"V","B1",-0.0510918512292606
"curved",3,"V","B2",0.337865811710507
"curved",3,"V","B3",-0.452926945625265
"curved",3,"V","L0",-0.00925186270770597
"curved",3,"V","L1",-0.336436252523696
"curved",3,"V","L2",-0.0538160227612759
"curved",3,"V","L3",0.048299683835094
"curved",3,"V","M0",0.445968526881801
"curved",3,"V","M1",0.241611219248339
"curved",3,"V","M2",-0.0357906389073007
"curved",3,"V","M3",-0.0311302201484319
"curved",3,"V","A0",-0.219313280103139
"curved",3,"V","A1",-0.191619345194831
"curved",3,"V","A2",0.463960416677333
"curved",4,"U","B1",-0.265801657676176
"curved",4,"U","B2",-0.17798662503936
"curved",4,"U","B3",-0.280649658968747
"curved",4,"U","L0",-0.0350708409353418
"curved",4,"U","L1",-0.0852587068553907
"curved",4,"U","L2",-0.118359335070417
"curved",4,"U","L3",-0.0950254959845205
"curved",4,"U","L4",-0.258833930197546
"curved",4,"U","M0",0.0863061551247134
"curved",4,"U","M1",0.41223332765932
"curved",4,"U","M2",-0.2367296377434
"curved",4,"U","M3",0.109079218121202
"curved",4,"U","M4",0.277904377803092
"curved",4,"U","A0",0.097157734905879
"curved",4,"U","A1",-0.467001305871512
"curved",4,"U","A2",-0.245961123917134
"curved",4,"U","A3",-0.331347836333586
"curved",4,"V","B1",0.25293211897729
"curved",4,"V","B2",0.385227308336076
"curved",4,"V","B3",0.0577130218149908
"curved",4,"V","L0",-0.298185199689344
"curved",4,"V","L1",0.123298257410104
"curved",4,"V","L2",-0.00496610183470869
"curved",4,"V","L3",-0.0129562127038614
"curved",4,"V","L4",0.116495821242561
"curved",4,"V","M0",0.00343259529836927
"curved",4,"V","M1",-0.448610558391585
"curved",4,"V","M2",0.156574380661729
"curved",4,"V","M3",0.223705413162157
"curved",4,"V","M4",-0.339138732828457
"curved",4,"V","A0",0.46018150782959
"curved",4,"V","A1",0.183326930317875
"curved",4,"V","A2",-0.00467981756387357
"curved",4,"V","A3",0.17371864305549
"curved",5,"U","B1",-0.470354208525312
"curved",5,"U","B2",0.195525080961554
"curved",5,"U","B3",-0.165167029632696
"curved",5,"U","L0",-0.0575405307752292
"curved",5,"U","L1",-0.291220261873529
"curved",5,"U","L2",-0.170171022210288
"curved",5,"U","L3",0.166617709871537
"curved",5,"U","L4",-0.107640605750946
"curved",5,"U","L5",0.0250315353292271
"curved",5,"U","M0",-0.140060832022794
"curved",5,"U","M1",0.173219929607184
"curved",5,"U","M2",0.0290375005707981
"curved",5,"U","M3",0.294538641769323
"curved",5,"U","M4",-0.175130919405733
"curved",5,"U","M5",-0.0380625248526684
"curved",5,"U","A0",0.467679505991938
"curved",5,"U","A1",0.0437531025807209
"curved",5,"U","A2",0.283986042470937
"curved",5,"U","A3",-0.247319281258146
"curved",5,"U","A4",0.156245087239487
"curved",5,"V","B1",0.183215233592721
"curved",5,"V","B2",-0.266135186127724
"curved",5,"V","B3",-0.0580382299007321
"curved",5,"V","L0",-0.0596202447273131
"curved",5,"V","L1",-0.19217949884285
"curved",5,"V","L2",0.139824721884563
"curved",5,"V","L3",0.340812088222925
"curved",5,"V","L4",-0.0354425992752156
"curved",5,"V","L5",0.0661364045804323
"curved",5,"V","M0",-0.421952473461708
"curved",5,"V","M1",0.228063955662239
"curved",5,"V","M2",0.184573642111196
"curved",5,"V","M3",0.104841774832092
"curved",5,"V","M4",-0.0804584265824659
"curved",5,"V","M5",-0.325960704554742
"curved",5,"V","A0",-0.00371074506124413
"curved",5,"V","A1",0.159258217634497
"curved",5,"V","A2",0.236535089202962
"curved",5,"V","A3",0.276409429106985
"curved",5,"V","A4",-0.406012367559083
"disconnected",0,"U","B1",0.504468418704468
"disconnected",0,"U","B2",0.202358916955737
"disconnected",0,"U","B3",-0.769918646165605
"disconnected",0,"U","L0",0.225311225824
"disconnected",0,"U","M0",0.247027555269697
"disconnected",0,"V","B1",0.318757802478168
"disconnected",0,"V","B2",-0.280241498112995
"disconnected",0,"V","B3",0.595118827906301
"disconnected",0,"V","L0",-0.627137566882149
"disconnected",0,"V","M0",0.269054304874021
"disconnected",1,"U","B1",0.518730793710857
"disconnected",1,"U","B2",-0.181631010149357
"disconnected",1,"U","B3",-0.508544451657833
"disconnected",1,"U","L0",0.105309138591081
"disconnected",1,"U","L1",-0.223089561469074
"disconnected",1,"U","M0",-0.407228259535351
"disconnected",1,"U","M1",0.193922899326743
"disconnected",1,"U","A0",0.418343360341146
"disconnected",1,"V","B1",-0.146620518376182
"disconnected",1,"V","B2",-0.403345738862231
"disconnected",1,"V","B3",0.443689413869226
"disconnected",1,"V","L0",-0.0644562891615497
"disconnected",1,"V","L1",-0.275689060382369
"disconnected",1,"V","M0",-0.289403308561469
